age_rating;index_fk;index_cl;index_dc;index_ari;index_SMOG;avg_words_len;avg_sent_len;med_sent_len;med_words_len;avg_count_syl;many_syllables;len_text;ttr;ttr_a;ttr_n;ttr_v;nav;count_v;count_s;count_adj;words_fr;words_r;words_d;words_doc;v_fr;v_r;v_d;v_doc;s_fr;s_r;s_d;s_doc;adv_fr;adv_r;adv_d;adv_doc;adj_fr;adj_r;adj_d;adj_doc;prop_fr;prop_r;prop_d;prop_doc;5000_proc;5000_freq;pos_fact;pos_opinion;pos_feeling;neg_fact;neg_opinion;neg_feeling
0.75;10.282266666666665;11.186431924882633;8.282233802816902;11.61990751173709;9.462126929304203;7.703125;139.30769230769232;132;7;2.64453125;0.06640625;3542;0.87109375;0.918918918918919;0.851063829787234;1.0;1.769982748706153;0.015625;0.1015625;0.01171875;1202.2272727272727;89.66666666666667;89.87878787878788;5153.484848484848;9122.275000000001;97.5;96.25;25739.75;112.96153846153848;87.3076923076923;88.53846153846153;2309.8076923076924;0;0;0;0;82.46666666666667;99.66666666666667;93.0;2350.3333333333335;0;0;0;0;0.078125;3.6575;0.004484304932735426;0.008968609865470852;0.0;0.004484304932735426;0.0;0.0
0.75;6.868036178433435;7.25904109589041;5.3241575342465755;7.453449332630839;6.0563812220517095;7.03125;72.95652173913044;64;7;2.6171875;0.04296875;3230;0.84765625;0.8571428571428571;0.8514851485148515;0;0;0.25;0.35546875;0.109375;569.3123015873015;94.94444444444444;92.81746031746032;5394.087301587301;1020.4609375000002;97.578125;94.40625;6242.484375;211.86813186813185;94.53846153846153;91.36263736263736;3241.4285714285716;173.51428571428568;94.85714285714286;93.71428571428571;3764.1785714285716;100.98214285714288;92.53571428571429;91.96428571428571;2718.714285714286;24.900000000000002;78.75;84.75;866.0;0.6953125;0.3129213483146068;0.004608294930875576;0.03686635944700461;0.009216589861751152;0.013824884792626729;0.04608294930875576;0.013824884792626729
0.75;7.551947169811321;10.011981132075476;7.764060377358491;10.27770188679245;8.891153770860452;7.23046875;116.66666666666667;101;7;2.40234375;0.05078125;3400;0.890625;0.9583333333333334;0.8733333333333333;0.6666666666666666;2.7475;0.01953125;0.0546875;0.01171875;166.73225806451612;77.54838709677419;86.03225806451613;2915.451612903226;160.24;57.8;86.4;2279.8;260.85714285714283;89.57142857142857;90.14285714285714;4367.071428571428;120.13333333333333;72.33333333333333;85.33333333333333;2435.6666666666665;103.73333333333333;85.33333333333333;91.0;3270.3333333333335;8.58;68.0;71.6;128.8;0.0546875;15.787857142857144;0.0;0.008771929824561403;0.0;0.013157894736842105;0.013157894736842105;0.0
0.75;9.264625737898463;7.258842975206612;9.509082644628101;7.514345336481696;10.878157738045749;6.82421875;110.73333333333333;111;6;2.57421875;0.0625;3254;0.7890625;0.803921568627451;0.7542372881355932;0;0;0.19140625;0.36328125;0.15234375;584.7631372549021;91.93725490196078;91.38823529411765;6013.239215686274;1364.8673469387759;96.28571428571429;94.40816326530613;8014.163265306122;90.22258064516126;86.97849462365592;88.19354838709677;2084.8279569892475;504.34999999999997;97.84615384615384;95.26923076923077;9291.76923076923;155.50512820512824;90.84615384615384;92.35897435897436;3770.3846153846152;41.85454545454545;85.27272727272727;80.63636363636364;965.6363636363636;0.65234375;0.8866467065868263;0.0297029702970297;0.14356435643564355;0.0297029702970297;0.034653465346534656;0.06930693069306931;0.019801980198019802
0.5;10.413657289002558;10.728695652173915;6.5735294117647065;11.049869565217392;7.478054927099018;7.12109375;104.47058823529412;118;7;2.6484375;0.05078125;3363;0.84375;0.8163265306122449;0.8387096774193549;0;0;0.23828125;0.3125;0.125;601.4099567099571;91.67099567099567;91.13852813852814;4795.666666666667;1472.4180327868853;94.72131147540983;93.65573770491804;7208.475409836065;139.52375;90.55;90.9625;2402.425;157.20000000000002;93.3913043478261;93.17391304347827;3416.5652173913045;67.4625;89.78125;92.03125;2170.6875;20.524999999999995;70.5;51.25;306.5;0.58984375;5.051324503311259;0.004629629629629629;0.05555555555555555;0.018518518518518517;0.004629629629629629;0.07407407407407407;0.018518518518518517
0.75;10.358980661260134;10.39707423580786;8.52110480349345;10.644899251403615;9.30258779760457;6.96484375;111.5;91;7;2.578125;0.05859375;3354;0.859375;0.896551724137931;0.75;0;0;0.24609375;0.296875;0.17578125;338.2221774193549;90.9274193548387;91.4475806451613;3940.673387096774;456.30158730158746;90.85714285714286;92.31746031746032;2854.8571428571427;164.4223684210527;90.8157894736842;90.73684210526316;3074.3552631578946;195.86399999999998;96.2;94.08;4355.92;70.93333333333332;88.13333333333334;91.53333333333333;2016.9777777777779;30.02307692307692;80.07692307692308;79.6923076923077;747.0;0.55859375;0.26622377622377624;0.013636363636363636;0.02727272727272727;0.01818181818181818;0.01818181818181818;0.06363636363636363;0.013636363636363636
0.75;5.9586171171171145;5.7150450450450485;4.763087837837839;5.505255630630629;5.464078869022874;6.6640625;76.14285714285714;60;6;2.46875;0.02734375;3166;0.80859375;0.8387096774193549;0.7264150943396226;1.0;1.5651247717589776;0.2578125;0.34375;0.078125;607.3596774193549;93.48387096774194;92.54032258064517;5857.375;959.5833333333337;93.25757575757575;93.57575757575758;5622.333333333333;281.3295454545454;91.4659090909091;90.77272727272727;4058.1136363636365;302.2882352941175;96.8529411764706;94.29411764705883;5194.882352941177;170.45;94.3;93.8;4386.65;60.82499999999999;93.08333333333333;86.75;1267.4166666666667;0.640625;0.5497560975609755;0.00966183574879227;0.043478260869565216;0.004830917874396135;0.014492753623188406;0.04830917874396135;0.014492753623188406
1;11.924978208232446;11.059830508474576;11.151152542372882;11.778937046004842;12.553279569776885;7.40625;118.66666666666667;110;7;2.86328125;0.12109375;3442;0.78515625;0.7538461538461538;0.77;0;0;0.16796875;0.3515625;0.203125;551.1393939393935;95.15151515151516;93.11363636363636;6367.931818181818;1158.874418604651;94.13953488372093;93.86046511627907;6574.7441860465115;216.46555555555548;96.07777777777778;91.71111111111111;4149.177777777778;333.5975609756098;97.85365853658537;95.14634146341463;6585.634146341464;141.89038461538462;90.65384615384616;91.86538461538461;3958.403846153846;14.1;92.0;87.0;363.0;0.6796875;1.7849425287356322;0.0;0.03980099502487562;0.024875621890547265;0.024875621890547265;0.05472636815920398;0.009950248756218905
0.5;13.180872146118716;12.606073059360739;10.631089041095892;13.13421118721461;11.272036852154386;7.41015625;122.26666666666667;128;7;2.8828125;0.10546875;3560;0.796875;0.9024390243902439;0.7304964539007093;1.0;1.6329354782909533;0.125;0.3671875;0.11328125;472.73290043290007;93.34199134199135;91.15584415584415;5446.502164502164;1271.5968750000002;97.9375;93.75;7078.59375;252.26382978723407;93.79787234042553;90.84042553191489;4476.659574468085;321.3736842105263;91.6842105263158;92.6842105263158;6523.631578947368;110.5034482758621;90.41379310344827;90.89655172413794;3127.0689655172414;88.04687500000004;92.1875;86.46875;1889.5;0.5546875;0.6629577464788733;0.0;0.0392156862745098;0.00980392156862745;0.014705882352941176;0.029411764705882353;0.0
0.75;8.311741876149604;7.710772532188841;8.807877682403433;7.937420141017782;10.07492607739044;7.07421875;115.92857142857143;112;7;2.6953125;0.09765625;3178;0.7734375;0.6271186440677966;0.8155339805825242;0;0;0.2421875;0.3828125;0.12109375;1119.4816176470588;96.11397058823529;93.73897058823529;8679.386029411764;2642.2709677419352;98.09677419354838;94.79032258064517;10978.790322580646;288.0051020408163;93.98979591836735;91.98979591836735;4582.265306122449;161.8529411764706;93.82352941176471;93.47058823529412;4008.3529411764707;249.32258064516125;96.90322580645162;93.70967741935483;5847.129032258064;15.133333333333335;92.33333333333333;88.66666666666667;580.0;0.75390625;58.15538860103627;0.015151515151515152;0.05555555555555555;0.015151515151515152;0.050505050505050504;0.08080808080808081;0.025252525252525252
0.75;6.236642857142854;6.098571428571432;7.840571428571429;5.767178571428566;8.678082609931916;6.71875;91.38888888888889;65;6;2.4453125;0.03125;3148;0.75;0.6976744186046512;0.7297297297297297;0;0;0.20703125;0.3984375;0.09375;462.65719844357966;93.95330739299611;92.78210116731518;5824.124513618677;443.83773584905674;98.20754716981132;94.22641509433963;4804.7169811320755;223.94019607843134;93.57843137254902;91.68627450980392;3715.843137254902;251.5161290322581;98.38709677419355;94.54838709677419;5776.967741935484;195.79166666666666;93.70833333333333;93.5;4510.833333333333;5.857142857142857;71.85714285714286;77.28571428571429;189.14285714285714;0.70703125;2.5627624309392267;0.005208333333333333;0.026041666666666668;0.020833333333333332;0.03125;0.052083333333333336;0.005208333333333333
0.5;8.077702333065169;6.488584070796463;8.051386967015286;7.186362831858403;8.479709366283041;6.6171875;158.3;129;6;2.48046875;0.03515625;3040;0.72265625;0.7317073170731707;0.5789473684210527;1.0;1.3106546854942234;0.1796875;0.328125;0.1015625;713.7687022900765;96.50381679389314;93.49618320610686;7345.919847328244;1218.2695652173913;98.32608695652173;94.80434782608695;7678.869565217391;227.78690476190488;96.67857142857143;92.60714285714286;3834.4880952380954;243.11621621621626;97.75675675675676;94.83783783783784;5206.405405405405;202.5;94.53846153846153;94.1923076923077;4721.884615384615;32.9125;79.0;78.0;815.625;0.77734375;2.936281407035176;0.005405405405405406;0.08648648648648649;0.032432432432432434;0.043243243243243246;0.04864864864864865;0.021621621621621623
